,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
305,Ron Behagen,1974,1980,F-C,6-9,185.0,January 14 1951,Minnesota,behagro01
306,Elmer Behnke,1952,1952,C,6-7,210.0,February 3 1929,Bradley,behnkel01
307,Marco Belinelli,2008,2020,G-F,6-5,220.0,March 25 1986,,belinma01
308,Charlie Bell,2002,2011,G,6-3,200.0,March 12 1979,Michigan State,bellch01
309,Dennis Bell,1974,1976,F,6-5,185.0,June 2 1951,Drake University,bellde01
310,Jordan Bell,2018,2022,F,6-8,216.0,January 7 1995,Oregon,belljo01
311,Raja Bell,2001,2012,G,6-5,204.0,September 19 1976,Boston University Florida International University,bellra01
312,Troy Bell,2004,2004,G,6-1,180.0,November 10 1980,Boston College,belltr01
313,Whitey Bell,1960,1961,G,6-0,180.0,September 13 1932,NC State,bellwh01
314,Walt Bellamy,1962,1975,C,6-11,225.0,July 24 1939,Indiana,bellawa01
315,DeAndre' Bembry,2017,2022,F,6-5,210.0,July 4 1994,Saint Joseph's,bembrde01
316,Irv Bemoras,1954,1957,F-G,6-3,185.0,November 18 1930,Illinois,bemorir01
317,Leon Benbow,1975,1976,G,6-4,185.0,July 23 1950,Jacksonville University,benbole01
318,Dragan Bender,2017,2020,F,7-0,225.0,November 17 1997,,bendedr01
319,Jonathan Bender,2000,2010,F,6-11,202.0,January 30 1981,,bendejo01
320,Jerrelle Benimon,2015,2015,F,6-8,245.0,August 1 1991,Georgetown Towson University,benimje01
321,Benoit Benjamin,1986,2000,C,7-0,250.0,November 22 1964,Creighton,benjabe01
322,Corey Benjamin,1999,2003,G,6-6,200.0,February 24 1978,Oregon State,benjaco01
323,Anthony Bennett,2014,2017,F,6-8,245.0,March 14 1993,UNLV,bennean01
324,Elmer Bennett,1995,1997,G,6-0,170.0,February 13 1970,Notre Dame,benneel01
325,Mario Bennett,1996,2000,F,6-6,235.0,August 1 1973,Arizona State,bennema01
326,Mel Bennett,1976,1982,F,6-7,200.0,January 4 1955,Pitt,benneme01
327,Spider Bennett,1969,1969,G,6-3,190.0,August 4 1943,Winston-Salem State,bennesp01
328,Tony Bennett,1993,1995,G,6-0,175.0,June 1 1969,Green Bay,benneto01
329,Winston Bennett,1990,1992,F,6-7,210.0,February 9 1965,Kentucky,bennewi01
330,David Benoit,1992,2001,F,6-8,220.0,May 9 1968,Alabama,benoida01
331,Keith Benson,2012,2012,C,6-11,240.0,August 13 1988,Oakland,bensoke02
332,Kent Benson,1978,1988,C,6-10,235.0,December 27 1954,Indiana,bensoke01
333,Ben Bentil,2017,2017,F,6-9,235.0,March 29 1995,Providence,bentibe01
334,Gene Berce,1950,1950,G-F,5-11,175.0,November 22 1926,Marquette,bercege01
335,Gary Bergen,1957,1957,C,6-8,210.0,July 16 1932,Utah,bergega01
336,Larry Bergh,1970,1970,F,6-8,210.0,April 2 1945,Weber State,berghla01
337,Ricky Berry,1989,1989,F,6-8,205.0,October 6 1964,Oregon State San Jose State,berryri01
338,Walter Berry,1987,1989,F,6-8,215.0,May 14 1964,St. John's,berrywa01
339,Dairis Bertans,2019,2019,G,6-4,200.0,September 9 1989,,bertada02
340,Davis Bertans,2017,2023,F,6-10,225.0,November 12 1992,,bertada01
341,Del Beshore,1979,1980,G,5-11,165.0,November 29 1956,California University of Pennslyvania,beshode01
342,Travis Best,1996,2005,G,5-11,182.0,July 12 1972,Georgia Tech,besttr01
343,Patrick Beverley,2013,2023,G,6-1,180.0,July 12 1988,Arkansas,beverpa01
344,Saddiq Bey,2021,2023,F,6-7,215.0,April 9 1999,Villanova,beysa01
345,Tyler Bey,2021,2021,F,6-7,215.0,February 10 1998,Colorado,beyty01
346,Sim Bhullar,2015,2015,C,7-5,360.0,December 2 1992,New Mexico State,bhullsi01
347,Wes Bialosuknia,1968,1968,G,6-2,185.0,June 8 1945,UConn,bialowe01
348,Al Bianchi,1957,1966,G,6-3,185.0,March 26 1932,Bowling Green,biancal01
349,Hank Biasatti,1947,1947,G,5-11,175.0,January 14 1922,Long Island University,biasaha01
350,Henry Bibby,1973,1981,G,6-1,185.0,November 24 1949,UCLA,bibbyhe01
351,Mike Bibby,1999,2012,G,6-1,190.0,May 13 1978,Arizona,bibbymi01
352,Ed Biedenbach,1969,1969,G,6-1,175.0,August 12 1945,NC State,biedeed01
353,Andris Biedrins,2005,2014,C,6-11,240.0,April 2 1986,,biedran01
354,Don Bielke,1956,1956,C,6-7,240.0,May 10 1932,Valparaiso,bielkdo01
355,Bob Bigelow,1976,1979,F-G,6-7,215.0,December 26 1953,Penn,bigelbo01
356,Lionel Billingy,1975,1975,F-C,6-9,215.0,August 31 1952,Duquesne,billili01
357,Chauncey Billups,1998,2014,G,6-3,202.0,September 25 1976,Colorado,billuch01
358,Dave Bing,1967,1978,G,6-3,180.0,November 24 1943,Syracuse,bingda01
359,Joe Binion,1987,1987,F,6-8,235.0,March 26 1961,North Carolina A&T,biniojo01
360,Khem Birch,2018,2023,C-F,6-9,233.0,September 28 1992,Pitt UNLV,birchkh01
361,Jabari Bird,2018,2018,G,6-6,198.0,July 3 1994,California,birdja01
362,Jerry Bird,1959,1959,F,6-6,210.0,February 2 1935,Kentucky,birdje01
363,Larry Bird,1980,1992,F,6-9,220.0,December 7 1956,Indiana State University,birdla01
364,Otis Birdsong,1978,1989,G,6-3,190.0,December 9 1955,Houston,birdsot01
365,Gale Bishop,1949,1949,F,6-3,195.0,June 4 1922,Washington State,bishoga01
366,Goga Bitadze,2020,2023,C,6-11,250.0,July 20 1999,,bitadgo01
367,Bismack Biyombo,2012,2023,C-F,6-8,255.0,August 28 1992,,biyombi01
368,Nemanja Bjelica,2016,2022,F,6-10,234.0,May 9 1988,,bjeline01
369,Uwe Blab,1986,1990,C,7-1,252.0,March 26 1962,Indiana,blabuw01
370,Charlie Black,1949,1952,F-C,6-5,200.0,June 15 1921,Kansas,blackch01
371,Norman Black,1981,1981,G,6-5,185.0,November 12 1957,Saint Joseph's,blackno01
372,Tarik Black,2015,2018,C-F,6-9,250.0,November 22 1991,Memphis Kansas,blackta01
373,Tom Black,1971,1971,C,6-10,220.0,July 9 1941,South Dakota State,blackto01
374,Rolando Blackman,1982,1994,G,6-6,190.0,February 26 1959,Kansas State,blackro01
375,Alex Blackwell,1993,1993,F,6-6,250.0,June 27 1970,Monmouth University,blackal01
376,Cory Blackwell,1985,1985,F,6-6,210.0,March 27 1963,Wisconsin,blackco01
377,James Blackwell,1995,1995,G,6-0,190.0,February 25 1968,Dartmouth College,blackja01
378,Nate Blackwell,1988,1988,G,6-4,170.0,February 15 1965,Temple,blackna01
379,DeJuan Blair,2010,2016,F-C,6-7,270.0,April 22 1989,Pitt,blairde01
380,Steve Blake,2004,2016,G,6-3,172.0,February 26 1980,Maryland,blakest01
381,Antonio Blakeney,2018,2019,G,6-4,192.0,October 4 1996,LSU,blakean01
382,Will Blalock,2007,2007,G,6-0,205.0,September 8 1983,Iowa State,blalowi01
383,George Blaney,1962,1962,G,6-1,175.0,November 12 1939,Holy Cross,blanege01
384,Lance Blanks,1991,1993,G,6-4,190.0,September 9 1966,Virginia Texas,blankla01
385,Ricky Blanton,1993,1993,F,6-7,215.0,April 21 1966,LSU,blantri01
386,Andray Blatche,2006,2014,F,6-11,235.0,August 22 1986,,blatcan01
387,Mookie Blaylock,1990,2002,G,6-0,180.0,March 20 1967,Midland College Oklahoma,blaylmo01
388,Eric Bledsoe,2011,2022,G,6-1,214.0,December 9 1989,Kentucky,bledser01
389,Keljin Blevins,2021,2022,F,6-4,200.0,November 24 1995,Southern Miss Montana State,blevike01
390,Leon Blevins,1951,1951,G,6-2,160.0,June 25 1926,Arizona,blevile01
391,John Block,1967,1976,F-C,6-9,207.0,April 16 1944,USC,blockjo01
392,Mike Bloom,1948,1949,F-C,6-6,190.0,January 14 1915,Temple,bloommi01
393,Jaron Blossomgame,2019,2019,F,6-8,220.0,September 16 1993,Clemson,blossja01
394,Corie Blount,1994,2004,F,6-9,240.0,January 4 1969,Cincinnati,blounco01
395,Mark Blount,2001,2009,C,7-0,230.0,November 30 1975,Pitt,blounma01
396,Vander Blue,2014,2018,G,6-4,200.0,July 17 1992,Marquette,blueva01
397,Ray Blume,1982,1982,G,6-4,185.0,September 23 1958,Oregon State,blumera01
398,Nelson Bobb,1950,1953,G,6-0,170.0,February 25 1924,Temple,bobbne01
399,Tony Bobbitt,2005,2005,G,6-4,190.0,October 22 1979,Cincinnati,bobbito01
400,Bucky Bockhorn,1959,1965,G,6-4,200.0,July 8 1933,Dayton,bockhbu01
401,Buddy Boeheim,2023,2023,G,6-6,205.0,November 11 1999,Syracuse,boehebu01
402,Tom Boerwinkle,1969,1978,C,7-0,265.0,August 23 1945,Tennessee,boerwto01
403,Keith Bogans,2004,2014,G-F,6-5,215.0,May 12 1980,Kentucky,boganke01
404,Bogdan Bogdanovic,2018,2022,G,6-6,220.0,August 18 1992,,bogdabo01
405,Bojan Bogdanovic,2015,2023,G-F,6-7,226.0,April 18 1989,,bogdabo02
406,Muggsy Bogues,1988,2001,G,5-3,136.0,January 9 1965,Wake Forest,boguemu01
407,Andrew Bogut,2006,2019,C,7-0,260.0,November 28 1984,Utah,bogutan01
408,Etdrick Bohannon,1998,2001,F,6-9,220.0,May 29 1973,Arizona Tennessee Auburn University at Montgomery,bohanet01
409,Bol Bol,2020,2023,F-C,7-2,220.0,November 16 1999,Oregon,bolbo01
410,Manute Bol,1986,1995,C,7-7,200.0,October 16 1962,University of Bridgeport,bolma01
411,Jonah Bolden,2019,2020,F,6-8,220.0,January 2 1996,UCLA,boldejo01
412,Marques Bolden,2020,2021,C,6-10,249.0,April 17 1998,Duke,boldema01
413,Bill Bolger,1954,1954,F,6-5,205.0,August 21 1931,Georgetown,bolgebi01
414,Leandro Bolmaro,2022,2023,F,6-6,200.0,September 11 2000,,bolmale01
415,Joel Bolomboy,2017,2018,F,6-9,235.0,January 28 1994,Weber State,bolomjo01
416,Doug Bolstorff,1958,1958,G,6-4,195.0,October 29 1931,Minnesota,bolstdo01
417,George Bon Salle,1962,1962,F,6-8,220.0,July 1 1935,Illinois,bonsage01
418,Phil Bond,1978,1978,G,6-2,175.0,July 27 1954,Louisville,bondph01
419,Walter Bond,1993,1995,G,6-5,200.0,February 1 1969,Minnesota,bondwa01
420,Jordan Bone,2020,2021,G,6-2,180.0,November 5 1997,Tennessee,bonejo01
421,Dexter Boney,1997,1997,G,6-4,185.0,April 27 1970,UNLV,boneyde01
422,Isaac Bonga,2019,2022,G,6-8,180.0,November 8 1999,,bongais01
423,Ron Bonham,1965,1968,F,6-5,192.0,May 31 1942,Cincinnati,bonharo01
424,Anthony Bonner,1991,1996,F,6-8,215.0,June 8 1968,Saint Louis,bonnean01
425,Matt Bonner,2005,2016,F,6-10,235.0,April 5 1980,Florida,bonnema01
426,Butch Booker,1970,1970,C,6-10,230.0,July 20 1945,Cheyney (PA),bookebu01
427,Devin Booker,2016,2023,G,6-5,206.0,October 30 1996,Kentucky,bookede01
428,Melvin Booker,1996,1997,G,6-2,185.0,August 20 1972,Missouri,bookeme01
429,Trevor Booker,2011,2018,F,6-8,228.0,November 25 1987,Clemson,booketr01
430,Josh Boone,2007,2010,F-C,6-10,237.0,November 21 1984,UConn,boonejo01
431,Ron Boone,1969,1981,G-F,6-2,200.0,September 6 1946,Iowa Western Community College Clarinda Campus Idaho State University,boonero01
432,Calvin Booth,2000,2009,C,6-11,230.0,May 7 1976,Penn State,boothca01
433,Keith Booth,1998,1999,F,6-6,226.0,October 9 1974,Maryland,boothke01
434,Bob Boozer,1961,1971,F,6-8,215.0,April 26 1937,Kansas State,boozebo01
435,Carlos Boozer,2003,2015,F-C,6-9,258.0,November 20 1981,Duke,boozeca01
436,Curtis Borchardt,2004,2005,C,7-0,240.0,September 13 1980,Stanford,borchcu01
437,Jake Bornheimer,1949,1950,F-C,6-5,200.0,June 29 1927,Muhlenberg College,bornhja01
438,Lazaro Borrell,2000,2000,F,6-8,220.0,September 20 1972,,borrela01
439,Ike Borsavage,1951,1951,C-F,6-8,220.0,July 25 1924,Temple,borsaik01
440,Vince Boryla,1950,1954,F,6-5,210.0,March 11 1927,Denver,borylvi01
441,Chris Bosh,2004,2016,F-C,6-11,235.0,March 24 1984,Georgia Tech,boshch01
442,Jim Bostic,1978,1978,F,6-7,225.0,January 28 1953,New Mexico State,bostiji01
443,Brandon Boston Jr.,2022,2023,G-F,6-7,185.0,November 28 2001,Kentucky,bostobr01
444,Lawrence Boston,1980,1980,F,6-8,225.0,May 18 1956,Vincennes University Maryland,bostola01
445,Tom Boswell,1976,1984,F-C,6-9,220.0,October 2 1953,South Carolina State South Carolina,bosweto01
446,Chris Boucher,2018,2023,F,6-9,200.0,January 11 1993,Oregon,bouchch01
447,James Bouknight,2022,2023,G,6-5,190.0,September 18 2000,UConn,bouknja01
448,Ruben Boumtje-Boumtje,2002,2004,C,7-0,257.0,May 20 1978,Georgetown,boumtru01
449,Don Boven,1950,1953,F-G,6-4,210.0,March 6 1925,Western Michigan,bovendo01
450,Cal Bowdler,2000,2002,F,6-10,245.0,March 31 1977,Old Dominion,bowdlca01
451,Brian Bowen,2020,2021,F,6-6,190.0,October 2 1998,,bowenbr02
452,Bruce Bowen,1997,2009,F,6-7,185.0,June 14 1971,Cal State Fullerton,bowenbr01
453,Ryan Bowen,2000,2010,F,6-7,215.0,November 20 1975,Iowa,bowenry01
454,Tommie Bowens,1968,1970,F-C,6-8,220.0,July 7 1940,Grambling State University,bowento01
455,Anthony Bowie,1989,1998,G-F,6-6,190.0,November 9 1963,Oklahoma,bowiean01
456,Sam Bowie,1985,1995,C-F,7-1,235.0,March 17 1961,Kentucky,bowiesa01
457,Orb Bowling,1968,1968,C,6-10,215.0,March 21 1939,Tennessee,bowlior01
458,Ira Bowman,2000,2002,G,6-5,195.0,June 11 1973,Providence Penn,bowmair01
459,Ky Bowman,2020,2020,G,6-1,187.0,June 16 1997,Boston College,bowmaky01
460,Nate Bowman,1967,1972,C,6-10,230.0,March 19 1943,Wichita State,bowmana01
461,Donnie Boyce,1996,1997,G,6-5,196.0,September 2 1973,Colorado,boycedo01
462,Dennis Boyd,1979,1979,G,6-1,175.0,May 21 1954,Detroit Mercy,boydde01
463,Freddie Boyd,1973,1978,G,6-2,180.0,June 13 1950,Oregon State,boydfr01
464,Ken Boyd,1975,1975,F,6-5,195.0,March 25 1952,Boston University,boydke01
465,Earl Boykins,1999,2012,G,5-5,135.0,June 2 1976,Eastern Michigan,boykiea01
466,Harry Boykoff,1950,1951,C,6-10,225.0,July 24 1922,St. John's,boykoha01
467,Winford Boynes,1979,1981,G-F,6-6,185.0,May 17 1957,San Francisco,boynewi01
468,Cedric Bozeman,2007,2007,G,6-6,207.0,March 7 1983,UCLA,bozemce01
469,Steve Bracey,1973,1975,G,6-1,175.0,August 1 1950,Tulsa,bracest01
470,Craig Brackins,2011,2012,F,6-10,230.0,October 9 1987,Iowa State,brackcr01
471,Gary Bradds,1965,1971,F,6-8,210.0,July 26 1942,Ohio State,braddga01
472,Alex Bradley,1982,1982,F,6-6,215.0,October 30 1959,Villanova,bradlal02
473,Alonzo Bradley,1978,1980,F,6-6,190.0,October 16 1953,Texas Southern,bradlal01
474,Avery Bradley,2011,2022,G,6-3,180.0,November 26 1990,Texas,bradlav01
475,Bill Bradley,1968,1968,G,5-11,165.0,June 16 1941,Tennessee State,bradlbi02
476,Bill Bradley,1968,1977,F-G,6-5,205.0,July 28 1943,Princeton,bradlbi01
477,Charles Bradley,1982,1984,G,6-5,215.0,May 16 1959,Wyoming,bradlch01
478,Dudley Bradley,1980,1989,G-F,6-6,195.0,March 19 1957,UNC,bradldu01
479,Jim Bradley,1974,1976,F,6-8,215.0,March 16 1952,Northern Illinois,bradlji01
480,Joe Bradley,1950,1950,G,6-3,175.0,September 24 1928,Oklahoma State,bradljo01
481,Michael Bradley,2002,2006,F-C,6-10,245.0,April 18 1979,Kentucky Villanova,bradlmi01
482,Shawn Bradley,1994,2005,C,7-6,235.0,March 22 1972,BYU,bradlsh01
483,Tony Bradley,2018,2023,F-C,6-10,248.0,January 8 1998,UNC,bradlto01
484,Mark Bradtke,1997,1997,C-F,6-10,265.0,September 27 1968,,bradtma01
485,Marques Bragg,1996,1996,F,6-8,230.0,March 24 1970,Providence,braggma01
486,Torraye Braggs,2004,2005,F,6-8,245.0,May 15 1976,Xavier,braggto01
487,A.J. Bramlett,2000,2000,C,6-10,227.0,January 10 1977,Arizona,bramlaj01
488,Adrian Branch,1987,1990,F-G,6-7,185.0,November 17 1963,Maryland,brancad01
489,Elton Brand,2000,2016,F-C,6-9,275.0,March 11 1979,Duke,brandel01
490,Terrell Brandon,1992,2002,G,5-11,180.0,May 20 1970,Oregon,brandte01
491,Malaki Branham,2023,2023,G,6-5,180.0,May 12 2003,Ohio State,branhma01
492,Bob Brannum,1950,1955,F-C,6-5,215.0,May 28 1926,Michigan State,brannbo01
493,Brad Branson,1982,1983,C-F,6-10,220.0,September 24 1958,SMU,bransbr01
494,Jesse Branson,1966,1968,F,6-7,195.0,January 7 1942,Elon University,bransje01
495,Jarrell Brantley,2020,2021,F,6-5,250.0,June 7 1996,College of Charleston,brantja01
496,Jim Brasco,1953,1953,G,6-1,170.0,February 3 1931,NYU,brascji01
497,Mike Bratz,1978,1986,G,6-2,185.0,October 17 1955,Stanford,bratzmi01
498,Carl Braun,1948,1962,G-F,6-5,180.0,September 25 1927,Colgate,braunca01
499,Christian Braun,2023,2023,G,6-7,218.0,April 17 2001,Kansas,braunch01
500,Ignas Brazdeikis,2020,2022,F,6-6,221.0,January 8 1999,Michigan,brazdig01
501,Tim Breaux,1995,1998,F,6-7,215.0,September 19 1970,Wyoming,breauti01
502,J.R. Bremer,2003,2004,G,6-2,185.0,September 19 1980,St. Bonaventure,bremejr01
503,Pete Brennan,1959,1959,F,6-6,205.0,September 23 1936,UNC,brennpe01
504,Tom Brennan,1955,1955,F,6-3,195.0,August 6 1930,Villanova,brennto01
505,Randy Breuer,1984,1994,C,7-3,230.0,October 11 1960,Minnesota,breuera01
506,Corey Brewer,2008,2020,F-G,6-9,186.0,March 5 1986,Florida,breweco01
507,Jamison Brewer,2002,2005,G,6-4,184.0,November 19 1980,Auburn,breweja01
508,Jim Brewer,1974,1982,F-C,6-9,210.0,December 3 1951,Minnesota,breweji01
509,Ron Brewer,1979,1986,G,6-4,180.0,July 16 1955,Arkansas,brewero01
510,Ronnie Brewer,2007,2014,G-F,6-7,220.0,March 20 1985,Arkansas,brewero02
511,Primoz Brezec,2002,2010,C,7-2,252.0,October 2 1979,,brezepr01
512,Frankie Brian,1950,1956,G,6-1,180.0,May 1 1923,LSU,brianfr01
513,Frank Brickowski,1985,1997,F-C,6-9,240.0,August 14 1959,Penn State,brickfr01
514,Junior Bridgeman,1976,1987,F-G,6-5,210.0,September 17 1953,Louisville,bridgju01
515,Bill Bridges,1963,1975,F-C,6-6,228.0,April 4 1939,Kansas,bridgbi01
516,Mikal Bridges,2019,2023,F-G,6-6,209.0,August 30 1996,Villanova,bridgmi01
517,Miles Bridges,2019,2022,G-F,6-6,225.0,March 21 1998,Michigan State,bridgmi02
518,Al Brightman,1947,1947,F,6-2,195.0,September 22 1923,University of Charleston,brighal01
519,Amida Brimah,2021,2021,C,6-10,230.0,February 11 1994,UConn,brimaam01
520,Aud Brindley,1947,1947,F,6-4,175.0,December 31 1923,Dartmouth College,brindau01
521,Isaiah Briscoe,2019,2019,G,6-3,215.0,April 13 1996,Kentucky,briscis01
522,John Brisker,1970,1975,F-G,6-5,210.0,June 15 1947,Toledo,briskjo01
523,Oshae Brissett,2020,2023,F,6-7,210.0,June 20 1998,Syracuse,brissos01
524,Allan Bristow,1974,1983,F-G,6-7,210.0,August 23 1951,Virginia Tech,bristal01
525,Tyrone Britt,1968,1968,G,6-4,190.0,April 18 1944,Johnson C. Smith University,brittty01
526,Wayman Britt,1978,1978,G,6-2,185.0,August 31 1952,Michigan,brittwa01
527,Mike Brittain,1986,1987,C,7-0,235.0,June 21 1963,South Carolina,brittmi01
528,Dave Britton,1981,1981,G,6-4,180.0,August 29 1958,Texas A&M,brittda01
529,Jon Brockman,2010,2012,F,6-7,255.0,March 20 1987,Washington,brockjo01
530,Ryan Broekhoff,2019,2020,F,6-6,215.0,August 23 1990,Valparaiso,broekry01
531,Jim Brogan,1982,1983,G,6-4,185.0,February 24 1958,West Virginia Wesleyan College,brogaji01
532,Malcolm Brogdon,2017,2023,G,6-5,229.0,December 11 1992,Virginia,brogdma01
533,Gary Brokaw,1975,1978,G,6-4,178.0,January 11 1954,Notre Dame,brokaga01
534,Price Brookfield,1949,1950,F-G,6-4,185.0,May 11 1920,West Texas A&M University,brookpr01
535,Clarence Brookins,1971,1971,F,6-4,190.0,,Temple,brookcl01
536,Aaron Brooks,2008,2018,G,6-0,161.0,January 14 1985,Oregon,brookaa01
537,Armoni Brooks,2021,2022,G,6-3,195.0,June 5 1998,Houston,brookar01
538,Dillon Brooks,2018,2023,F-G,6-7,225.0,January 22 1996,Oregon,brookdi01
539,Kevin Brooks,1992,1994,F,6-6,200.0,October 12 1969,Louisiana,brookke01
540,MarShon Brooks,2012,2019,G-F,6-5,200.0,January 26 1989,Providence,brookma01
541,Michael Brooks,1981,1988,F,6-7,220.0,August 17 1958,La Salle,brookmi01
542,Scott Brooks,1989,1998,G,5-11,165.0,July 31 1965,TCU University of California Irvine,brooksc01
543,Andre Brown,2007,2009,F,6-9,245.0,May 12 1981,DePaul,brownan01
544,Anthony Brown,2016,2018,F-G,6-7,210.0,October 10 1992,Stanford,brownan02
545,Bob Brown,1949,1950,F,6-4,205.0,November 12 1923,Miami University,brownbo01
546,Bobby Brown,2009,2018,G,6-2,175.0,September 24 1984,Cal State Fullerton,brownbo02
547,Bruce Brown,2019,2023,G,6-4,202.0,August 15 1996,Miami (FL),brownbr01
548,Charlie Brown Jr.,2020,2022,G,6-6,199.0,February 2 1997,Saint Joseph's,brownch02
549,Chaundee Brown Jr.,2022,2022,G-F,6-5,215.0,December 4 1998,Wake Forest Michigan,brownch05
550,Chucky Brown,1990,2002,F,6-7,214.0,February 29 1968,NC State,brownch01
551,Damone Brown,2002,2005,F,6-9,200.0,June 28 1979,Syracuse,brownda02
552,Darrel Brown,1949,1949,F,6-2,175.0,March 14 1923,Humboldt State University,brownda01
553,Dee Brown,1991,2002,G,6-1,160.0,November 29 1968,Jacksonville University,brownde01
554,Dee Brown,2007,2009,G,6-0,185.0,August 17 1984,Illinois,brownde03
555,Derrick Brown,2010,2012,F,6-7,225.0,September 8 1987,Xavier,brownde04
556,Devin Brown,2003,2010,G,6-5,220.0,December 30 1978,Texas-San Antonio,brownde02
557,Ernest Brown,2002,2002,C,7-0,244.0,May 17 1979,Indian Hills Community College,browner01
558,Fred Brown,1972,1984,G,6-3,182.0,August 7 1948,Iowa,brownfr01
559,George Brown,1958,1958,F,6-6,190.0,October 30 1935,Wayne State University,brownge01
560,Gerald Brown,1999,1999,G,6-4,210.0,July 28 1975,Pepperdine,brownge02
561,Greg Brown III,2022,2023,F,6-9,205.0,September 1 2001,Texas,browngr01
562,Harold Brown,1947,1947,G,6-0,155.0,October 2 1923,University of Evansville,brownha01
563,Jabari Brown,2015,2015,G,6-4,215.0,December 18 1992,Oregon Missouri,brownja01
564,Jaylen Brown,2017,2023,F-G,6-6,223.0,October 24 1996,California,brownja02
565,John Brown,1974,1980,F,6-7,220.0,December 14 1951,Missouri,brownjo01
566,Kedrick Brown,2002,2005,G,6-7,222.0,March 18 1981,Okaloosa-Walton Community College,brownke01
567,Kendall Brown,2023,2023,G-F,6-8,205.0,May 11 2003,Baylor,brownke03
568,Kwame Brown,2002,2013,F,6-11,270.0,March 10 1982,,brownkw01
569,Larry Brown,1968,1972,G,5-9,160.0,September 14 1940,UNC,brownla01
570,Leon Brown,1947,1947,F,6-3,190.0,October 12 1919,Wyoming,brownle01
571,Lewis Brown,1981,1981,C,6-11,225.0,February 19 1955,UNLV,brownle02
572,Lorenzo Brown,2014,2019,G,6-5,189.0,August 26 1990,NC State,brownlo01
573,Marcus Brown,1997,2000,G,6-3,185.0,April 3 1974,Murray State,brownma01
574,Markel Brown,2015,2018,G,6-3,190.0,January 29 1992,Oklahoma State,brownma02
575,Mike Brown,1987,1997,C-F,6-9,257.0,July 19 1963,George Washington,brownmi01
576,Moses Brown,2020,2023,C,7-2,245.0,October 13 1999,UCLA,brownmo01
577,Myron Brown,1992,1992,G,6-3,180.0,November 3 1969,Slippery Rock University of Pennsylvania,brownmy01
578,P.J. Brown,1994,2008,F-C,6-11,225.0,October 14 1969,Louisiana Tech,brownpj01
579,Randy Brown,1992,2003,G,6-2,190.0,May 22 1968,Houston New Mexico State,brownra02
580,Raymond Brown,1990,1990,F,6-8,220.0,July 5 1965,Mississippi State Idaho,brownra01
581,Rickey Brown,1981,1985,C-F,6-10,215.0,August 20 1958,Mississippi State,brownri01
582,Roger Brown,1968,1975,F-G,6-5,205.0,May 22 1942,Dayton,brownro01
583,Roger Brown,1973,1980,C,6-11,225.0,February 23 1950,Kansas,brownro02
584,Shannon Brown,2007,2015,G,6-4,205.0,November 29 1985,Michigan State,brownsh01
585,Stan Brown,1948,1952,F,6-3,200.0,June 27 1929,,brownst01
586,Sterling Brown,2018,2022,G,6-5,219.0,February 10 1995,SMU,brownst02
